[00:05:15] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[00:05:17] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[00:05:17] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[00:05:17] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[00:05:17] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[00:05:17] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[00:05:18] [Worker-Main-4/INFO]: Loaded 7 recipes
[00:05:19] [Worker-Main-4/INFO]: Loaded 1141 advancements
[00:05:21] [Server thread/INFO]: Starting minecraft server version 1.18.2
[00:05:21] [Server thread/INFO]: Loading properties
[00:05:21] [Server thread/INFO]: Default game type: SURVIVAL
[00:05:21] [Server thread/INFO]: Generating keypair
[00:05:22] [Server thread/INFO]: Starting Minecraft server on *:25565
[00:05:22] [Server thread/INFO]: Using epoll channel type
[00:05:22] [Server thread/INFO]: Preparing level "world"
[00:05:22] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[00:05:25] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[00:05:25] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[00:05:25] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[00:05:25] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:05:25] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[00:05:25] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[00:05:25] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:05:26] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:05:26] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:05:27] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:05:27] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[00:05:28] [Worker-Main-6/INFO]: Preparing spawn area: 0%
